GeneID	dN	dS	dNdS
BLGH_01607	0	0	NA
BLGH_01608	0.002	0.006	0.3333
BLGH_01609	0	0.002	0
BLGH_01610	0.001	0.003	0.3333
BLGH_01611	0	0.004	0
BLGH_01612	0.002	0	Inf
BLGH_01613	0.001	0	Inf
BLGH_01614	0.001	0.002	0.5
BLGH_01615	0.001	0.001	1
BLGH_01616	0.039	0.044	0.8864
BLGH_01617	0	0.003	0
BLGH_01618	0.001	0	Inf
BLGH_01619	0	0.005	0
BLGH_01620	0.001	0.004	0.25
BLGH_01621	0.004	0.007	0.5714
BLGH_01622	0.003	0.01	0.3
BLGH_01623	0	0.006	0
BLGH_01624	0.017	0.086	0.1977
BLGH_01625	0.011	0	Inf
BLGH_01626	0	0	NA
BLGH_01627	0.147	0.159	0.9245
BLGH_01628	0.001	0.004	0.25
BLGH_01629	0.001	0.002	0.5
BLGH_01630	0.008	0.009	0.8889
BLGH_01631	0.002	0	Inf
BLGH_01632	0.009	0	Inf
BLGH_01633	0.006	0.009	0.6667
BLGH_01634	0	0	NA
BLGH_01635	0.003	0	Inf
BLGH_01636	0.001	0.007	0.1429
BLGH_01637	0.013	0.027	0.4815
BLGH_01638	0	0.005	0
BLGH_01639	0.001	0.002	0.5
BLGH_01640	0.002	0.005	0.4
BLGH_01641	0.012	0.031	0.3871
BLGH_01642	0.001	0.003	0.3333
BLGH_01643	0.003	0.007	0.4286
BLGH_01644	0	0	NA
BLGH_01645	0.003	0.008	0.375
BLGH_01646	0	0	NA
BLGH_01647	0	0.002	0
BLGH_01648	0.008	0.009	0.8889
BLGH_01649	1.333	99	0.0135
BLGH_01650	0.009	0.016	0.5625
BLGH_01652	0.001	0.012	0.0833
BLGH_01653	0	0	NA
BLGH_01654	0	0	NA
BLGH_01655	0.002	0.002	1
BLGH_01656	0	0.004	0
BLGH_01659	0.002	0.007	0.2857
BLGH_01660	0.002	0.004	0.5
BLGH_01661	0	0.002	0
BLGH_01662	0.017	0.069	0.2464
BLGH_01663	0	0	NA
BLGH_01664	0.001	0.002	0.5
BLGH_01665	0.001	0.002	0.5
BLGH_01666	0	0.007	0
BLGH_01667	0	0	NA
BLGH_01668	0.015	0.014	1.0714
BLGH_01669	0.002	0.004	0.5
BLGH_01671	0.001	0.004	0.25
BLGH_01672	0.001	0.003	0.3333
BLGH_01673	0.001	0.003	0.3333
BLGH_01674	0.075	0.058	1.2931
BLGH_01675	0.003	0	Inf
BLGH_01676	0	0.002	0
BLGH_01677	0	0	NA
BLGH_01678	0.003	0	Inf
BLGH_01679	0	0	NA
BLGH_01680	0.015	0.015	1
BLGH_01681	0	0	NA
BLGH_01682	0.003	0.004	0.75
BLGH_01683	0.013	0	Inf
BLGH_01684	0.008	0	Inf
BLGH_01685	0.002	0.009	0.2222
BLGH_01686	0.001	0.003	0.3333
BLGH_01687	0	0	NA
BLGH_01688	0.002	0.006	0.3333
BLGH_01689	0.003	0.002	1.5
BLGH_01690	0.001	0.001	1
BLGH_01691	0	0	NA
BLGH_01692	0.001	0.002	0.5
BLGH_01693	0	0.01	0
BLGH_01694	0	0	NA
BLGH_01695	0.008	0.011	0.7273
BLGH_01696	0.001	0.006	0.1667
BLGH_01697	0.001	0.002	0.5
BLGH_01698	0.001	0	Inf
BLGH_01699	0.002	0.004	0.5
BLGH_01700	0.001	0.003	0.3333
BLGH_01701	0.003	0.017	0.1765
BLGH_01702	0	0.006	0
BLGH_01703	0	0	NA
BLGH_01704	0	0.009	0
BLGH_01705	0.001	0.005	0.2
BLGH_01706	0.001	0.003	0.3333
BLGH_01707	0.011	0.027	0.4074
BLGH_01708	0.007	0.009	0.7778
BLGH_01709	0.012	0.015	0.8
BLGH_01710	0.005	0.016	0.3125
BLGH_01711	0	0	NA
BLGH_01712	0	0.002	0
BLGH_01713	0	0	NA
BLGH_01714	0.001	0.007	0.1429
BLGH_01715	0	0	NA
BLGH_01716	0.001	0.018	0.0556
BLGH_01717	0.002	0.004	0.5
BLGH_01718	0.072	0.123	0.5854
BLGH_01719	0	0	NA
BLGH_01720	0.016	0.026	0.6154
BLGH_01721	0.002	0	Inf
BLGH_01722	0.004	0.009	0.4444
BLGH_01724	0.002	0.004	0.5
BLGH_01725	0.002	0.004	0.5
BLGH_01726	0	0	NA
BLGH_01727	0.004	0.005	0.8
BLGH_01728	0.03	0.03	1
BLGH_01729	0	0.003	0
BLGH_01730	0.004	0.011	0.3636
BLGH_01731	0	0.007	0
BLGH_01732	0.006	0.008	0.75
BLGH_01733	0.003	0.017	0.1765
BLGH_01734	0	0	NA
BLGH_01735	0	0.004	0
BLGH_01736	0.001	0.002	0.5
BLGH_01737	0.01	0.009	1.1111
BLGH_01738	0	0	NA
BLGH_01739	0	0.004	0
BLGH_01740	0.003	0.002	1.5
BLGH_01741	0.002	0	Inf
BLGH_01742	0.001	0	Inf
BLGH_01743	0.001	0.004	0.25
BLGH_01744	0	0.008	0
BLGH_01745	0	0	NA
BLGH_01746	0.01	0.006	1.6667
BLGH_01747	0	0	NA
BLGH_01748	0.002	0.004	0.5
BLGH_01749	0	0.003	0
BLGH_01750	0.003	0	Inf
BLGH_01751	0	0	NA
BLGH_01752	0	0.001	0
BLGH_01753	0.002	0.001	2
BLGH_01754	0	0	NA
BLGH_01755	0.002	0	Inf
BLGH_01756	0.002	0.004	0.5
BLGH_01757	0	0	NA
BLGH_01758	0.001	0.002	0.5
BLGH_01759	0	0.005	0
BLGH_01760	0.003	0	Inf
BLGH_01761	0.003	0	Inf
BLGH_01762	0.002	0	Inf
BLGH_01763	0.001	0	Inf
BLGH_01764	0.002	0.002	1
BLGH_01765	0	0.012	0
BLGH_01766	0.001	0.01	0.1
BLGH_01767	0	0.018	0
BLGH_01768	0.005	0	Inf
BLGH_01769	0	0.001	0
BLGH_01770	0.008	0.012	0.6667
BLGH_01771	0	0	NA
BLGH_01772	0.001	0.003	0.3333
BLGH_01773	0	0	NA
BLGH_01774	0.001	0.002	0.5
BLGH_01775	0	0	NA
BLGH_01776	0.001	0.011	0.0909
BLGH_01777	0.002	0	Inf
BLGH_01778	0.113	0.156	0.7244
BLGH_01779	0.001	0.009	0.1111
BLGH_01780	0.017	0.006	2.8333
BLGH_01781	0	0.006	0
BLGH_01782	0.002	0	Inf
BLGH_01783	0.56	0.578	0.9689
BLGH_01787	0	0.02	0
BLGH_01788	0.014	0.011	1.2727
BLGH_01789	0	0	NA
BLGH_01790	0	0.014	0
BLGH_01792	0.002	0.002	1
BLGH_01793	0.02	0.027	0.7407
BLGH_01794	0	0.002	0
BLGH_01795	0	0	NA
BLGH_01796	0.005	0.012	0.4167
BLGH_01797	0.003	0.004	0.75
BLGH_01798	0	0.03	0
BLGH_01799	0	0	NA
BLGH_01800	0	0	NA
BLGH_01801	0.002	0.012	0.1667
BLGH_01802	0.001	0.003	0.3333
BLGH_01803	0	0	NA
BLGH_01804	0.001	0.002	0.5
BLGH_01805	0	0	NA
BLGH_01806	0.001	0.004	0.25
BLGH_01807	0.002	0	Inf
BLGH_01808	0	0	NA
BLGH_01809	0	0	NA
BLGH_01810	0.005	0	Inf
BLGH_01811	0.001	0	Inf
BLGH_01812	0.003	0.017	0.1765
BLGH_01813	0.001	0.003	0.3333
BLGH_01814	0.009	0.014	0.6429
BLGH_01815	0.008	0.008	1
BLGH_01817	0.004	0.004	1
BLGH_01818	0	0	NA
BLGH_01819	0	0	NA
BLGH_01820	0	0	NA
BLGH_01821	0	0.005	0
BLGH_01822	0.001	0	Inf
BLGH_01823	0	0	NA
BLGH_01824	0	0.004	0
BLGH_01825	0	0.006	0
BLGH_01826	0	0.013	0
BLGH_01827	0.003	0.009	0.3333
BLGH_01828	0.001	0	Inf
BLGH_01829	0	0.003	0
BLGH_01830	0.003	0.005	0.6
BLGH_01831	0	0.005	0
BLGH_01833	0.001	0	Inf
BLGH_01834	0.002	0.001	2
BLGH_01835	0.001	0	Inf
BLGH_01836	0.002	0.004	0.5
BLGH_01837	0.008	0	Inf
BLGH_01838	0.004	0.008	0.5
BLGH_01839	0	0.006	0
BLGH_01840	0.002	0.006	0.3333
BLGH_01841	0.004	0	Inf
BLGH_01842	0	0.016	0
BLGH_01843	0.013	0.012	1.0833
BLGH_01844	0	0.008	0
BLGH_01845	0.004	0.018	0.2222
BLGH_01846	0	0	NA
BLGH_01847	0	0	NA
BLGH_01848	0	0.006	0
BLGH_01849	0.022	0.016	1.375
BLGH_01850	0.002	0.004	0.5
BLGH_01851	0	0	NA
BLGH_01852	0.003	0.013	0.2308
BLGH_01853	0.002	0	Inf
BLGH_01854	0	0.004	0
BLGH_01855	0	0	NA
BLGH_01856	0.002	0.02	0.1
BLGH_01857	0.203	0.199	1.0201
BLGH_01858	0.002	0.004	0.5
BLGH_01859	0	0	NA
BLGH_01860	0.001	0.004	0.25
BLGH_01861	0	0.004	0
BLGH_01862	0.004	0.007	0.5714
BLGH_01863	0.004	0.005	0.8
BLGH_01864	0.002	0.002	1
BLGH_01865	0	0.007	0
BLGH_01866	0.001	0	Inf
BLGH_01867	0.001	0	Inf
BLGH_01868	0	0	NA
BLGH_01869	0	0.003	0
BLGH_01870	0.002	0.003	0.6667
BLGH_01871	0	0	NA
BLGH_01872	0	0.005	0
BLGH_01873	0.003	0.009	0.3333
BLGH_01874	0.001	0	Inf
BLGH_01875	0.001	0.006	0.1667
BLGH_01876	0.001	0.002	0.5
BLGH_01877	0	0	NA
BLGH_01878	0.003	0.001	3
BLGH_01879	0.001	0	Inf
BLGH_01882	0.011	0.014	0.7857
BLGH_01883	0.001	0.003	0.3333
BLGH_01884	0.008	0.014	0.5714
BLGH_01885	0	0	NA
BLGH_01886	0	0	NA
BLGH_01887	0.003	0.003	1
BLGH_01888	0	0	NA
BLGH_01889	0.02	0	Inf
BLGH_01890	0.004	0	Inf
BLGH_01891	0.002	0.004	0.5
BLGH_01892	0.002	0.005	0.4
BLGH_01893	0	0.004	0
BLGH_01894	0	0.003	0
BLGH_01895	0.001	0.014	0.0714
BLGH_01896	0.002	0	Inf
BLGH_01897	0	0.003	0
BLGH_01898	0.001	0.002	0.5
BLGH_01899	0	0.005	0
BLGH_01900	0.002	0.002	1
BLGH_01901	0.001	0.004	0.25
BLGH_01902	0.001	0.01	0.1
BLGH_01903	0.001	0	Inf
BLGH_01904	0	0	NA
BLGH_01905	0.173	0.153	1.1307
BLGH_01906	0	0	NA
BLGH_01907	0.002	0.006	0.3333
BLGH_01908	0.011	0.01	1.1
BLGH_01909	0.001	0.009	0.1111
BLGH_01910	0	0	NA
BLGH_01911	0.017	0.012	1.4167
BLGH_01912	0	0.006	0
BLGH_01913	0.002	0.003	0.6667
BLGH_01914	0.002	0	Inf
BLGH_01915	0.019	0.015	1.2667
BLGH_01916	0.009	0.022	0.4091
BLGH_01917	0	0.004	0
BLGH_01918	0.014	0.043	0.3256
BLGH_01919	1.412	3.795	0.3721
BLGH_01920	0.016	0.018	0.8889
BLGH_01921	0.001	0	Inf
BLGH_01922	0.001	0.002	0.5
BLGH_01923	0	0	NA
BLGH_01924	0.079	0.08	0.9875
BLGH_01925	0.002	0.003	0.6667
BLGH_01926	0.008	0.033	0.2424
BLGH_01927	0.001	0.013	0.0769
BLGH_01928	0.001	0.002	0.5
BLGH_01929	0.002	0	Inf
BLGH_01930	0.002	0.004	0.5
BLGH_01931	0.002	0.002	1
BLGH_01932	0.002	0	Inf
BLGH_01933	0.002	0	Inf
BLGH_01934	0	0	NA
BLGH_01935	0.001	0	Inf
BLGH_01936	0.004	0	Inf
BLGH_01937	0	0.019	0
BLGH_01938	0.001	0.009	0.1111
BLGH_01939	0.01	0.024	0.4167
BLGH_01940	0.001	0.003	0.3333
BLGH_01941	0.004	0	Inf
BLGH_01942	0.018	0.026	0.6923
BLGH_01943	0.007	0	Inf
BLGH_01944	0	0.007	0
BLGH_01945	0	0	NA
BLGH_01946	0.001	0.007	0.1429
BLGH_01947	0	0.003	0
BLGH_01948	0.009	0	Inf
BLGH_01949	0.004	0	Inf
BLGH_01950	0.01	0.012	0.8333
BLGH_01951	0.002	0.006	0.3333
BLGH_01952	0.001	0.002	0.5
BLGH_01953	0.009	0.021	0.4286
BLGH_01954	0.002	0.006	0.3333
BLGH_01955	0	0	NA
BLGH_01956	0.002	0	Inf
BLGH_01957	0.018	0.05	0.36
BLGH_01958	0.016	0.047	0.3404
BLGH_01959	0.002	0	Inf
BLGH_01960	0.003	0.008	0.375
BLGH_01961	1.306	1.192	1.0956
BLGH_01962	0.001	0.006	0.1667
BLGH_01963	0	0	NA
BLGH_01964	0.001	0.006	0.1667
BLGH_01965	0.002	0	Inf
BLGH_01966	0.001	0.003	0.3333
BLGH_01967	0.002	0.008	0.25
BLGH_01968	0	0	NA
BLGH_01969	0.001	0.003	0.3333
BLGH_01970	0.01	0.006	1.6667
BLGH_01971	0.007	0	Inf
BLGH_01973	0.075	0.032	2.3438
BLGH_01974	0.19	0.236	0.8051
BLGH_01975	0.003	0.014	0.2143
BLGH_01976	0.005	0.072	0.0694
BLGH_01978	0.002	0	Inf
BLGH_01979	0.002	0.028	0.0714
BLGH_01980	0.004	0.008	0.5
BLGH_01981	0	0	NA
BLGH_01982	0.001	0.006	0.1667
BLGH_01983	0	0.003	0
BLGH_01984	0.005	0	Inf
BLGH_01985	0.001	0.003	0.3333
BLGH_01986	0	0	NA
BLGH_01987	0.001	0	Inf
BLGH_01988	0.02	0.165	0.1212
BLGH_01989	0.018	0.151	0.1192
BLGH_01990	0	0.006	0
BLGH_01991	0.012	0.012	1
BLGH_01992	0.005	0.021	0.2381
BLGH_01993	0.001	0.005	0.2
BLGH_01994	0	0.013	0
BLGH_01995	0	0.003	0
BLGH_01996	0.02	0.072	0.2778
BLGH_01997	0.002	0.032	0.0625
BLGH_01998	0.061	0.049	1.2449
BLGH_01999	0	0	NA
BLGH_02000	0.004	0.004	1
BLGH_02001	0.002	0.005	0.4
BLGH_02002	0.002	0.003	0.6667
BLGH_02003	0.001	0.005	0.2
BLGH_02004	0.003	0.002	1.5
BLGH_02005	0.108	0.081	1.3333
BLGH_02006	0.001	0.006	0.1667
BLGH_02007	0	0	NA
BLGH_02008	0.001	0.004	0.25
BLGH_02009	0	0	NA
BLGH_02010	0	0	NA
BLGH_02011	0	0	NA
BLGH_02012	0	0.003	0
BLGH_02013	0	0.007	0
BLGH_02014	0.015	0.015	1
BLGH_02015	0.001	0.011	0.0909
BLGH_02016	0	0	NA
BLGH_02017	0.018	0.038	0.4737
BLGH_02018	0	0.015	0
BLGH_02019	0	0.01	0
BLGH_02020	0.001	0	Inf
BLGH_02021	0.001	0.006	0.1667
BLGH_02022	0.001	0.004	0.25
BLGH_02023	0.003	0.006	0.5
BLGH_02024	0.004	0	Inf
BLGH_02025	0.002	0.006	0.3333
BLGH_02026	0.004	0	Inf
BLGH_02027	0.003	0.005	0.6
BLGH_02028	0	0.004	0
BLGH_02029	0.005	0	Inf
BLGH_02030	0.002	0	Inf
BLGH_02031	0.001	0.005	0.2
BLGH_02032	0.001	0.005	0.2
BLGH_02033	0	0.011	0
BLGH_02034	0.008	0.016	0.5
BLGH_02035	0.004	0.017	0.2353
BLGH_02036	0.002	0.013	0.1538
BLGH_02037	0.012	0.02	0.6
BLGH_02038	0.004	0.005	0.8
BLGH_02039	0.001	0.002	0.5
BLGH_02040	0	0.002	0
BLGH_02041	0.001	0.005	0.2
BLGH_02042	0.002	0.002	1
BLGH_02043	0	0.006	0
BLGH_02044	0.025	0.053	0.4717
BLGH_02045	0.003	0	Inf
BLGH_02046	0.001	0.006	0.1667
BLGH_02047	0.01	0.026	0.3846
BLGH_02048	0	0	NA
BLGH_02049	0.004	0	Inf
BLGH_02050	0.002	0.002	1
BLGH_02051	0	0	NA
BLGH_02052	0	0	NA
BLGH_02053	0.002	0	Inf
BLGH_02054	0.002	0.007	0.2857
BLGH_02055	0.002	0	Inf
BLGH_02056	0.029	0.046	0.6304
BLGH_02057	0.004	0.005	0.8
BLGH_02058	0.001	0.002	0.5
BLGH_02059	0.001	0.002	0.5
BLGH_02060	0	0.004	0
BLGH_02061	0.003	0	Inf
BLGH_02062	0.004	0.01	0.4
BLGH_02063	0.001	0	Inf
BLGH_02064	0.015	0	Inf
BLGH_02065	0	0	NA
BLGH_02066	0	0.005	0
BLGH_02067	0.001	0.004	0.25
BLGH_02068	0.001	0	Inf
BLGH_02069	0.007	0.009	0.7778
BLGH_02070	0.014	0	Inf
BLGH_02071	0	0	NA
BLGH_02073	0	0	NA
BLGH_02075	0.004	0.028	0.1429
BLGH_02076	0	0	NA
BLGH_02077	0	0.007	0
BLGH_02078	0	0.009	0
BLGH_02079	0	0.005	0
BLGH_02080	0.001	0.004	0.25
BLGH_02081	0.001	0	Inf
BLGH_02082	0	0.007	0
BLGH_02083	0.002	0	Inf
BLGH_02084	0.001	0.002	0.5
BLGH_02085	0	0	NA
BLGH_02086	0.002	0.005	0.4
BLGH_02087	0	0.006	0
BLGH_02088	0	0.002	0
BLGH_02089	0.002	0.005	0.4
BLGH_02090	0.002	0	Inf
BLGH_02091	0.002	0	Inf
BLGH_02092	0	0	NA
BLGH_02093	0	0	NA
BLGH_02094	0	0.003	0
BLGH_02095	0	0.006	0
BLGH_02096	0.009	0.01	0.9
BLGH_02097	0	0.003	0
BLGH_02098	0.004	0	Inf
BLGH_02099	0.011	0.024	0.4583
BLGH_02100	0	0	NA
BLGH_02101	0.001	0	Inf
BLGH_02102	0.002	0	Inf
BLGH_02103	0.001	0.003	0.3333
BLGH_02104	0.002	0	Inf
BLGH_02105	0.001	0.004	0.25
BLGH_02106	0.05	0.06	0.8333
BLGH_02107	0	0	NA
BLGH_02108	0	0	NA
BLGH_02109	0	0.03	0
BLGH_02110	0	0	NA
BLGH_02111	0.001	0.004	0.25
BLGH_02112	0	0	NA
BLGH_02113	0	0	NA
BLGH_02114	0	0	NA
BLGH_02115	0.01	0.01	1
BLGH_02116	0	0	NA
BLGH_02117	0	0	NA
BLGH_02118	0	0	NA
BLGH_02119	0.002	0	Inf
BLGH_02120	0.001	0.004	0.25
BLGH_02121	0.011	0	Inf
BLGH_02122	0	0.002	0
BLGH_02123	0.001	0.002	0.5
BLGH_02124	0	0	NA
BLGH_02125	0	0.016	0
BLGH_02126	1.445	1.82	0.794
BLGH_02127	0.001	0.006	0.1667
BLGH_02128	0.001	0.007	0.1429
BLGH_02130	0	0.015	0
BLGH_02131	0.001	0.001	1
BLGH_02134	0.001	0.003	0.3333
BLGH_02135	0	0.004	0
BLGH_02136	0.002	0.004	0.5
BLGH_02137	0.018	0.02	0.9
BLGH_02138	0	0	NA
BLGH_02139	0	0	NA
BLGH_02140	0	0.01	0
BLGH_02141	0.003	0	Inf
BLGH_02142	0	0	NA
BLGH_02143	0	0.005	0
BLGH_02144	0	0.009	0
BLGH_02145	0	0.007	0
BLGH_02146	0	0.01	0
BLGH_02147	0	0	NA
BLGH_02148	0.001	0.005	0.2
BLGH_02149	0	0.002	0
BLGH_02150	0	0	NA
BLGH_02151	0	0.005	0
BLGH_02152	0.003	0.004	0.75
BLGH_02153	0	0.003	0
BLGH_02154	0.001	0.002	0.5
BLGH_02155	0.001	0.005	0.2
BLGH_02156	0.002	0.006	0.3333
BLGH_02157	0	0.006	0
BLGH_02158	0.001	0.005	0.2
BLGH_02159	0.002	0	Inf
BLGH_02160	0	0.006	0
BLGH_02161	0.002	0.003	0.6667
BLGH_02162	0	0.003	0
BLGH_02163	0	0	NA
BLGH_02164	0	0.007	0
BLGH_02165	0	0.004	0
BLGH_02166	0	0.012	0
BLGH_02167	0.003	0.002	1.5
BLGH_02168	0.001	0	Inf
BLGH_02169	0.008	0	Inf
BLGH_02170	0.004	0.008	0.5
BLGH_02171	0.001	0	Inf
BLGH_02172	0	0.005	0
BLGH_02173	0.001	0.004	0.25
BLGH_02174	0	0	NA
BLGH_02175	0.001	0.003	0.3333
BLGH_02176	0	0.003	0
BLGH_02177	0	0	NA
BLGH_02178	0	0.002	0
BLGH_02179	0.001	0	Inf
BLGH_02180	0	0.007	0
BLGH_02181	0	0	NA
BLGH_02182	0.003	0.004	0.75
BLGH_02183	0	0	NA
BLGH_02184	0.002	0.006	0.3333
BLGH_02185	0.001	0	Inf
BLGH_02186	0.001	0.007	0.1429
BLGH_02187	0.001	0.009	0.1111
BLGH_02188	0	0.005	0
BLGH_02189	0.003	0	Inf
BLGH_02190	0.003	0.003	1
BLGH_02191	0.004	0	Inf
BLGH_02192	0	0	NA
BLGH_02193	0.004	0.018	0.2222
BLGH_02194	0.011	0.008	1.375
BLGH_02196	0	0	NA
BLGH_02197	0	0.004	0
BLGH_02198	0.01	0	Inf
BLGH_02199	0.012	0.029	0.4138
BLGH_02200	0.001	0	Inf
BLGH_02201	0.003	0.08	0.0375
BLGH_02202	0.009	0.055	0.1636
BLGH_02203	0.003	0.035	0.0857
BLGH_02204	0.008	0.055	0.1455
BLGH_02205	0.015	0.082	0.1829
BLGH_02207	0.006	0.047	0.1277
BLGH_02208	0	0.004	0
BLGH_02209	0.002	0	Inf
BLGH_02210	0.002	0	Inf
BLGH_02211	0	0	NA
BLGH_02212	0.004	0.002	2
BLGH_02213	0.001	0.005	0.2
BLGH_02214	0	0.026	0
BLGH_02215	0.177	0.373	0.4745
BLGH_02216	0	0	NA
BLGH_02217	0.001	0.003	0.3333
BLGH_02218	0.05	0.051	0.9804
BLGH_02219	0.155	0.26	0.5962
BLGH_02220	0	0	NA
BLGH_02221	0	0.003	0
BLGH_02223	0.001	0	Inf
BLGH_02225	0.001	0.002	0.5
BLGH_02226	0.009	0.01	0.9
BLGH_02227	0.009	0.014	0.6429
BLGH_02228	0.006	0.051	0.1176
BLGH_02229	0.001	0	Inf
BLGH_02230	0	0	NA
BLGH_02231	0.106	0.212	0.5
BLGH_02232	0	0.001	0
BLGH_02233	0.003	0.007	0.4286
BLGH_02234	0.002	0.004	0.5
BLGH_02235	0	0.004	0
BLGH_02236	2.38	2.674	0.8901
BLGH_02237	0	0	NA
BLGH_02238	0.002	0.006	0.3333
BLGH_02239	0	0	NA
BLGH_02240	0.002	0	Inf
BLGH_02241	0	0	NA
BLGH_02242	0.001	0	Inf
BLGH_02243	0.003	0	Inf
BLGH_02244	0.001	0.01	0.1
BLGH_02245	0.019	0.014	1.3571
BLGH_02246	0	0.005	0
BLGH_02247	0	0.005	0
BLGH_02248	0	0.003	0
BLGH_02249	0.001	0.009	0.1111
BLGH_02250	0.002	0.004	0.5
BLGH_02251	0.001	0.002	0.5
BLGH_02252	0	0.002	0
BLGH_02254	0.003	0.003	1
BLGH_02255	0.002	0	Inf
BLGH_02256	0	0	NA
BLGH_02257	0	0.005	0
BLGH_02258	0.001	0.006	0.1667
BLGH_02259	0	0.008	0
BLGH_02260	0.003	0.001	3
BLGH_02261	0	0.012	0
BLGH_02262	0.002	0.011	0.1818
BLGH_02263	0.005	0.021	0.2381
BLGH_02264	0	0.004	0
BLGH_02265	0	0.004	0
BLGH_02266	0.001	0	Inf
BLGH_02267	0	0	NA
BLGH_02268	0.004	0.004	1
BLGH_02269	0	0	NA
BLGH_02270	0	0.006	0
BLGH_02272	0.001	0.004	0.25
BLGH_02273	0.046	0.048	0.9583
BLGH_02274	0	0.002	0
BLGH_02275	0	0	NA
BLGH_02276	0.004	0	Inf
BLGH_02277	0	0.007	0
BLGH_02278	0	0	NA
BLGH_02279	0.002	0.002	1
BLGH_02280	0.022	0.044	0.5
BLGH_02281	0	0.005	0
BLGH_02282	0	0	NA
BLGH_02283	0.005	0	Inf
BLGH_02284	0	0	NA
BLGH_02285	0	0	NA
BLGH_02286	0	0	NA
BLGH_02287	0.017	0.013	1.3077
BLGH_02288	0.001	0.003	0.3333
BLGH_02289	0	0	NA
BLGH_02290	0.003	0	Inf
BLGH_02291	0	0.013	0
BLGH_02292	0	0	NA
BLGH_02293	0.001	0	Inf
BLGH_02294	0.004	0.006	0.6667
BLGH_02296	0.002	0.002	1
BLGH_02297	0	0	NA
BLGH_02298	0	0	NA
BLGH_02299	0.001	0.003	0.3333
BLGH_02300	0.001	0.003	0.3333
BLGH_02301	0	0	NA
BLGH_02302	0	0.003	0
BLGH_02303	0	0	NA
BLGH_02304	0.002	0.005	0.4
BLGH_02305	0	0.006	0
BLGH_02306	0.001	0.002	0.5
BLGH_02307	0.003	0.007	0.4286
BLGH_02308	0	0	NA
BLGH_02309	0	0	NA
BLGH_02310	0	0.003	0
BLGH_02311	0.002	0	Inf
BLGH_02312	0	0.004	0
BLGH_02313	0	0.004	0
BLGH_02314	0.035	0.038	0.9211
BLGH_02315	0	0	NA
BLGH_02316	0.003	0.008	0.375
BLGH_02317	0.002	0	Inf
BLGH_02318	0.001	0.004	0.25
BLGH_02319	0.001	0	Inf
BLGH_02320	0.001	0.003	0.3333
BLGH_02321	0	0.005	0
BLGH_02322	0.011	0.013	0.8462
BLGH_02323	0.001	0.006	0.1667
BLGH_02324	0	0	NA
BLGH_02325	0	0.004	0
BLGH_02326	0.001	0.005	0.2
BLGH_02327	0.001	0.004	0.25
BLGH_02328	0.08	0.069	1.1594
BLGH_02329	0	0	NA
BLGH_02330	0.012	0.014	0.8571
BLGH_02331	0.007	0.004	1.75
BLGH_02332	0.071	0.06	1.1833
BLGH_02333	0	0.006	0
BLGH_02334	0	0.009	0
BLGH_02335	0.018	0.024	0.75
BLGH_02336	0.001	0	Inf
BLGH_02337	0.002	0.008	0.25
BLGH_02339	0	0.003	0
BLGH_02340	0	0	NA
BLGH_02341	0.001	0.005	0.2
BLGH_02342	0.001	0	Inf
BLGH_02343	0	0.002	0
BLGH_02344	0.001	0.005	0.2
BLGH_02345	0.001	0.002	0.5
BLGH_02346	0.036	0.048	0.75
BLGH_02347	0.002	0.005	0.4
BLGH_02348	0.002	0.002	1
BLGH_02349	0.005	0.003	1.6667
BLGH_02350	0.002	0.002	1
BLGH_02351	0.002	0	Inf
BLGH_02352	0	0.01	0
BLGH_02353	0	0.021	0
BLGH_02354	0	0	NA
BLGH_02355	0.006	0.009	0.6667
BLGH_02356	0.002	0	Inf
BLGH_02357	0	0	NA
BLGH_02358	0.001	0.008	0.125
BLGH_02359	0.006	0.009	0.6667
BLGH_02360	0.002	0.004	0.5
BLGH_02361	0.01	0.005	2
BLGH_02362	0.002	0.004	0.5
BLGH_02363	0.009	0.01	0.9
BLGH_02364	0.014	0	Inf
BLGH_02365	0	0	NA
BLGH_02366	0.002	0.008	0.25
BLGH_02367	0	0.005	0
BLGH_02368	0.001	0.004	0.25
BLGH_02369	0.001	0	Inf
BLGH_02370	0	0.005	0
BLGH_02371	0.001	0.003	0.3333
BLGH_02373	0.028	0	Inf
BLGH_02374	0	0.013	0
BLGH_02375	0	0.002	0
BLGH_02376	0	0	NA
BLGH_02377	0.002	0	Inf
BLGH_02378	0	0	NA
BLGH_02379	0.007	0.008	0.875
BLGH_02380	0	0.011	0
BLGH_02381	0.012	0.033	0.3636
BLGH_02382	0	0.015	0
BLGH_02383	0.003	0.005	0.6
BLGH_02384	0	0	NA
BLGH_02385	0.001	0.002	0.5
BLGH_02386	0	0	NA
BLGH_02387	0	0	NA
BLGH_02388	0.001	0	Inf
BLGH_02389	0	0	NA
BLGH_02390	0	0	NA
BLGH_02391	0.088	0.115	0.7652
BLGH_02392	0	0.005	0
BLGH_02393	0	0	NA
BLGH_02394	0.005	0.011	0.4545
BLGH_02395	0	0.001	0
BLGH_02396	0.001	0.004	0.25
BLGH_02397	0.001	0.004	0.25
BLGH_02398	0	0	NA
BLGH_02399	0	0.006	0
BLGH_02400	0	0.007	0
BLGH_02401	0.002	0.003	0.6667
BLGH_02402	0	0.004	0
BLGH_02403	0.002	0.004	0.5
BLGH_02404	0.001	0.003	0.3333
BLGH_02405	0.002	0.004	0.5
